from,to,year,type,pps
UDLe,JMu,2018,1,"0,2"
PLo,UDLe,2018,2,2
DLC,CPa,2018,1,"0,4"
CS,DLC,2018,2,"0,4"
FCM,Mi,2018,1,"0,6"
JoG,FCM,2018,2,"0,4"
SeFC,EBe,2017,1,"1,4"
VMo,SeFC,2017,2,"0,8"
UDLP,PAy,2017,1,"0,2"
PJ,UDLP,2017,2,"1,2"
DLC,PMe,2017,1,"1,4"
CPa,DLC,2017,2,"0,8"
ViCF,FE,2017,1,"1,4"
JaC,ViCF,2017,2,"2,6"
UDLP,MaMa,2017,1,"1,2"
PAy,UDLP,2017,2,0
ALA,AB,2017,1,0
GdB,ALA,2017,2,"0,6"
ALA,JaCa,2017,1,"0,6"
Ab,ALA,2017,2,"1,8"
VCF,PAy,2016,1,0
Vo,VCF,2016,2,2
GrFC,PJ,2016,1,"0,2"
LAl,GrFC,2016,2,"0,6"
VCF,Vo,2016,1,"1,2"
CPr,VCF,2016,2,1
RBe,GPo,2016,1,"0,6"
VSa,RBe,2016,2,"1,4"
FCM,JR,2016,1,"1,2"
MRo,FCM,2016,2,"0,2"
VCF,CPr,2016,1,1
Vo,VCF,2016,2,"1,2"
CAO,JC,2017,1,0
PVa,CAO,2017,2,"0,6"
SG,Ab,2017,1,"0,6"
Ru,SG,2017,2,"0,8"
DLC,GGa,2017,1,"0,2"
PMe,DLC,2017,2,"1,6"
FCM,MRo,2017,1,"0,8"
Mi,FCM,2017,2,"1,4"
GrFC,LAl,2017,1,"0,2"
TAd,GrFC,2017,2,0
RBe,VSa,2017,1,"1,2"
ATr,RBe,2017,2,1
RBe,ATr,2017,1,"0,4"
QS,RBe,2017,2,"1,8"
UDLP,QS,2017,1,0
MaMa,UDLP,2017,2,"1,2"
VCF,Vo,2017,1,1
Mar,VCF,2017,2,"1,8"
ABi,EV,2017,1,"1,4"
CZ,ABi,2017,2,"1,4"
ALA,MaP,2017,1,"2,2"
LZ,ALA,2017,2,0
FCBa,LEn,2017,1,3
EV,FCBa,2017,2,3
RCC,EBe,2017,1,"2,6"
JCU,RCC,2017,2,"1,4"
ViCF,Mar,2016,1,"0,8"
FE,ViCF,2016,2,"1,8"
CAO,EMa,2016,1,1
JC,CAO,2016,2,0
SeFC,JS,2017,1,"1,4"
EBe,SeFC,2017,2,"2,6"
FCM,JG,2016,1,"1,4"
JR,FCM,2016,2,1
RCD,CoG,2016,1,"1,4"
QSF,RCD,2016,2,1
DLC,VSa,2016,1,"0,8"
GGa,DLC,2016,2,1
UDLe,Ru,2016,1,"0,8"
JMu,UDLe,2016,2,"1,8"
SeFC,UM,2016,1,"0,6"
JS,SeFC,2016,2,"2,2"
GrFC,JoG,2016,1,"1,8"
PJ,GrFC,2016,2,"0,4"
RBe,JMe,2016,1,1
GPo,RBe,2016,2,1
GCF,FE,2016,1,"0,4"
JE,GCF,2016,2,"1,6"
VCF,GN,2016,1,"0,6"
PAy,VCF,2016,2,2
GrFC,JRS,2016,1,"0,6"
JoG,GrFC,2016,2,"1,6"
RBe,PMe,2016,1,"0,2"
JMe,RBe,2016,2,
RM,RB,2016,1,2
ZiZi,RM,2016,2,"2,6"
RCD,Se,2015,1,"0,8"
CoG,RCD,2015,2,"0,8"
VCF,NES,2015,1,"1,4"
Vo,VCF,2015,2,"1,6"
VCF,Vo,2015,1,"1,6"
GN,VCF,2015,2,"0,6"
RSo,DM,2015,1,"0,6"
Eu,RSo,2015,2,"1,4"
UDLe,LAl,2015,1,"0,8"
Ru,UDLe,2015,2,1
UDLP,PHe,2015,1,"0,6"
QS,UDLP,2015,2,1
RM,CA,2015,1,"2,6"
RB,RM,2015,2,"2,6"
SDEi,GGa,2015,1,"0,8"
JLM,SDEi,2015,2,"1,6"
GCF,PaF,2015,1,"0,2"
FE,GCF,2015,2,"0,6"
GrFC,ARe,2015,1,"0,4"
JRS,GrFC,2015,2,2
DLC,VF,2015,1,"0,4"
VSa,DLC,2015,2,"0,6"
UDA,JIM,2015,1,"0,4"
SBa,UDA,2015,2,"1,2"
FCCo,MD,2015,1,0
JARo,FCCo,2015,2,"0,4"
GCF,QSF,2015,1,"1,8"
PaF,GCF,2015,2,"1,2"
GrFC,JC,2015,1,"0,4"
ARe,GrFC,2015,2,1
GCF,CCo,2015,1,"0,6"
QSF,GCF,2015,2,"1,2"
UDA,FR,2014,1,"0,2"
JIM,UDA,2014,2,"1,2"
RSo,JAr,2014,1,"0,8"
DM,RSo,2014,2,"1,2"
FCCo,AFe,2014,1,"0,4"
MD,FCCo,2014,2,"0,6"
UDLe,JLM,2014,1,"0,8"
LAl,UDLe,2014,2,"1,4"
VCF,JAP,2014,1,1
Vo,VCF,2014,2,"1,6"
DLC,FV,2014,1,"0,8"
VF,DLC,2014,2,"0,8"
UDLe,JC,2014,1,"1,6"
JLM,UDLe,2014,2,"0,8"
RCD,JAg,2014,1,"0,2"
Se,RCD,2014,2,1
FCM,BSchu,2014,1,"1,4"
JG,FCM,2014,2,"1,2"
FCBa,GMar,2014,1,"1,8"
LEn,FCBa,2014,2,"2,6"
GrFC,LAl,2014,1,"0,8"
JC,GrFC,2014,2,"1,6"
RCC,LEn,2014,1,"2,4"
EBe,RCC,2014,2,"1,8"
FCBa,TV,2013,1,3
GMar,FCBa,2013,2,3
CAO,JLM,2013,1,"0,6"
JG,CAO,2013,2,"1,2"
RBe,PMe,2013,1,"0,4"
JCG,RBe,2013,2,"0,2"
VCF,MD,2013,1,0
NE,VCF,2013,2,"0,8"
VCF,NE,2013,1,"0,8"
JAP,VCF,2013,2,"1,6"
RBe,JCG,2014,1,"0,2"
GCa,RBe,2014,2,"0,6"
GCF,LG,2014,1,"0,4"
CCo,GCF,2014,2,"0,8"
RCD,MP,2012,1,"0,8"
JAg,RCD,2012,2,"1,2"
VCF,MaP,2012,1,"1,4"
EV,VCF,2012,2,"2,4"
DLC,JLO,2012,1,"0,4"
DP,DLC,2012,2,"0,8"
SeFC,Mi,2013,1,"0,8"
UM,SeFC,2013,2,2
FCBa,TV,2013,1,"2,4"
JRo,FCBa,2013,2,"2,6"
GrFC,JAnq,2013,1,"1,4"
LAl,GrFC,2013,2,"1,2"
RCDM,JC,2013,1,"0,2"
GMa,RCDM,2013,2,"1,4"
DLC,DP,2013,1,"0,2"
FV,DLC,2013,2,"0,8"
RCC,PHe,2013,1,"0,4"
ARe,RCC,2013,2,"0,8"
FCBa,JRo,2013,1,2
TV,FCBa,2013,2,"2,6"
RCC,ARe,2013,1,"1,4"
LEn,RCC,2013,2,"1,2"
RVad,MD,2013,1,"0,6"
JIM,RVad,2013,2,"0,8"
UDLe,JIM,2013,1,"1,2"
JC,UDLe,2013,2,"1,2"
VCF,EV,2013,1,"2,4"
MD,VCF,2013,2,"1,2"
RSo,PMo,2013,1,"1,6"
JAr,RSo,2013,2,"1,2"
ABI,MBi,2013,1,"1,6"
EV,ABI,2013,2,"1,8"
RM,JM,2013,1,"2,2"
CA,RM,2013,2,"2,6"
FCM,MPe,2013,1,"0,8"
BSchu,FCM,2013,2,1
RV,JRS,2012,1,"0,6"
PJ,RV,2012,2,"1,4"
FCBa,PGu,2012,1,2
TV,FCBa,2012,2,3
VCF,UM,2012,1,"1,8"
MaP,VCF,2012,2,1
GrFC,ARe,2012,1,"1,2"
LAl,GrFC,2012,2,"1,2"
ViCF,JFM,2012,1,"0,2"
MALo,ViCF,2012,2,"1,6"
RSa,JoG,2012,1,"0,6"
ACe,RSa,2012,2,"0,2"
SeFC,Mar,2012,1,"0,4"
Mi,SeFC,2012,2,"1,4"
SG,ITE,2012,1,"0,8"
JaCl,SG,2012,2,1
ViCF,JCG,2011,1,"0,8"
JFM,ViCF,2011,2,"1,6"
AM,GMa,2011,1,"1,2"
DSi,AM,2011,2,"2,2"
SAR,JAg,2011,1,0
MJi,SAR,2011,2,"0,4"
RSa,HCu,2011,1,1
JoG,RSA,2011,2,"2,2"
RCDM,ML,2011,1,"0,8"
JC,RCDM,2011,2,"0,6"
GrFC,FGo,2011,1,"0,6"
ARe,GrFC,2011,2,"1,8"
